Year,Quarter,Type_of_application,Institution_type_group,Institution_type, Applications 
2024,2024 Q1,Unknown,Higher Education institution,Non Russell Group Universities,21
2024,2024 Q1,Unknown,Higher Education institution,Russell Group Universities,11
2024,2024 Q1,Unknown,All other institutions,English language school,1
2024,2024 Q1,Unknown,All other institutions,"Tertiary, Further education or other colleges",1
2024,2024 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,4212
2024,2024 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,2282
2024,2024 Q1,Extensions of stay,All other institutions,English language school,19
2024,2024 Q1,Extensions of stay,All other institutions,Independent School,151
2024,2024 Q1,Extensions of stay,All other institutions,Other,18
2024,2024 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",72
2024,2024 Q2,Visa,Higher Education institution,Non Russell Group Universities,24302
2024,2024 Q2,Visa,Higher Education institution,Russell Group Universities,15443
2024,2024 Q2,Visa,All other institutions,English language school,651
2024,2024 Q2,Visa,All other institutions,Independent School,3222
2024,2024 Q2,Visa,All other institutions,Other,981
2024,2024 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges",2077
2024,2024 Q2,Unknown,Higher Education institution,Non Russell Group Universities,6
2024,2024 Q2,Unknown,Higher Education institution,Russell Group Universities,3
2024,2024 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,1895
2024,2024 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,1041
2024,2024 Q2,Extensions of stay,All other institutions,English language school,4
2024,2024 Q2,Extensions of stay,All other institutions,Independent School,219
2024,2024 Q2,Extensions of stay,All other institutions,Other,22
2024,2024 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",33
2024,2024 Q3,Visa,Higher Education institution,Non Russell Group Universities,126398
2024,2024 Q3,Visa,Higher Education institution,Russell Group Universities,113777
2024,2024 Q3,Visa,All other institutions,English language school,4882
2024,2024 Q3,Visa,All other institutions,Independent School,10172
2024,2024 Q3,Visa,All other institutions,Other,2011
2024,2024 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges",7845
2024,2024 Q3,Unknown,Higher Education institution,Non Russell Group Universities,6
2024,2024 Q3,Unknown,Higher Education institution,Russell Group Universities,7
2024,2024 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,5883
2024,2024 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,7483
2024,2024 Q3,Extensions of stay,All other institutions,English language school,70
2024,2024 Q3,Extensions of stay,All other institutions,Independent School,742
2024,2024 Q3,Extensions of stay,All other institutions,Other,61
2024,2024 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",555
2024,2024 Q4,Visa,Higher Education institution,Non Russell Group Universities,40974
2024,2024 Q4,Visa,Higher Education institution,Russell Group Universities,4449
2024,2024 Q4,Visa,All other institutions,English language school,1979
2024,2024 Q4,Visa,All other institutions,Independent School,1160
2024,2024 Q4,Visa,All other institutions,Other,452
2024,2024 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges",2819
2024,2024 Q4,Unknown,Higher Education institution,Non Russell Group Universities,13
2024,2024 Q4,Unknown,Higher Education institution,Russell Group Universities,7
2024,2024 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,6032
2024,2024 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,7126
2024,2024 Q4,Extensions of stay,All other institutions,English language school,50
2024,2024 Q4,Extensions of stay,All other institutions,Independent School,428
2024,2024 Q4,Extensions of stay,All other institutions,Other,40
2024,2024 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",230
