Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Education,20
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,6
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",26
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,12
2010,2010 Q1,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,4
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",49
2010,2010 Q2,Visa,Worker (Previously Tier 2),Mining and Quarrying,144
2010,2010 Q2,Visa,Worker (Previously Tier 2),Manufacturing,520
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",56
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",5
2010,2010 Q2,Visa,Worker (Previously Tier 2),Construction,95
2010,2010 Q2,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,139
2010,2010 Q2,Visa,Worker (Previously Tier 2),Transportation and Storage,85
2010,2010 Q2,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,624
2010,2010 Q2,Visa,Worker (Previously Tier 2),Information and Communications,4688
2010,2010 Q2,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,1585
2010,2010 Q2,Visa,Worker (Previously Tier 2),Real estate activities,16
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",1684
2010,2010 Q2,Visa,Worker (Previously Tier 2),Administrative and support service activities,117
2010,2010 Q2,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,30
2010,2010 Q2,Visa,Worker (Previously Tier 2),Education,425
2010,2010 Q2,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,820
2010,2010 Q2,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",163
2010,2010 Q2,Visa,Worker (Previously Tier 2),Other Service Activities,84
